protein_id	source	ncbi_taxid	genus	species	strain_or_gene	assembly	description	source_accession
Obelisk_000242_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000242_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR6337268
Obelisk_000242_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000242_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR8549481
Obelisk_000242_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000242_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR8549481
Obelisk_000243_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425408
Obelisk_000243_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425408
Obelisk_000243_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425410
Obelisk_000243_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425410
Obelisk_000243_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425411
Obelisk_000243_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425411
Obelisk_000243_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425413
Obelisk_000243_000001_000004_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425413
Obelisk_000243_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425327
Obelisk_000243_000001_000005_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425327
Obelisk_000243_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425412
